variant,sensor,treatment_site_id,fit_window,lambda,cv_sse,chosen
cv,sentinel1,treatment_0001,P01-08,0.0001,8144.89644950861,False
cv,sentinel1,treatment_0001,P01-08,0.00012589254117941674,8144.896449477781,False
cv,sentinel1,treatment_0001,P01-08,0.00015848931924611142,8144.896449438969,False
cv,sentinel1,treatment_0001,P01-08,0.00019952623149688788,8144.8964493901085,False
cv,sentinel1,treatment_0001,P01-08,0.00025118864315095795,8144.896449328596,False
cv,sentinel1,treatment_0001,P01-08,0.00031622776601683794,8144.896449251158,False
cv,sentinel1,treatment_0001,P01-08,0.00039810717055349735,8144.896449153668,False
cv,sentinel1,treatment_0001,P01-08,0.0005011872336272725,8144.8964490309345,False
cv,sentinel1,treatment_0001,P01-08,0.000630957344480193,8144.896448876423,False
cv,sentinel1,treatment_0001,P01-08,0.0007943282347242813,8144.896448681906,False
cv,sentinel1,treatment_0001,P01-08,0.001,8144.896448437022,False
cv,sentinel1,treatment_0001,P01-08,0.0012589254117941675,8144.896448128732,False
cv,sentinel1,treatment_0001,P01-08,0.001584893192461114,8144.896447740618,False
cv,sentinel1,treatment_0001,P01-08,0.001995262314968879,8144.896447252011,False
cv,sentinel1,treatment_0001,P01-08,0.002511886431509582,8144.896446636894,False
cv,sentinel1,treatment_0001,P01-08,0.0031622776601683794,8144.896445862506,False
cv,sentinel1,treatment_0001,P01-08,0.003981071705534973,8144.896444887612,False
cv,sentinel1,treatment_0001,P01-08,0.005011872336272725,8144.896443660296,False
cv,sentinel1,treatment_0001,P01-08,0.00630957344480193,8144.896442115198,False
cv,sentinel1,treatment_0001,P01-08,0.00794328234724282,8144.896440170043,False
cv,sentinel1,treatment_0001,P01-08,0.01,8144.896437721246,False
cv,sentinel1,treatment_0001,P01-08,0.012589254117941675,8144.8964346384055,False
cv,sentinel1,treatment_0001,P01-08,0.01584893192461114,8144.896430757363,False
cv,sentinel1,treatment_0001,P01-08,0.01995262314968881,8144.896425871455,False
cv,sentinel1,treatment_0001,P01-08,0.025118864315095822,8144.896419720519,False
cv,sentinel1,treatment_0001,P01-08,0.03162277660168379,8144.896411977033,False
cv,sentinel1,treatment_0001,P01-08,0.039810717055349734,8144.896402228702,False
cv,sentinel1,treatment_0001,P01-08,0.05011872336272725,8144.8963899565015,False
cv,sentinel1,treatment_0001,P01-08,0.06309573444801936,8144.896374507069,False
cv,sentinel1,treatment_0001,P01-08,0.07943282347242822,8144.896355057941,False
cv,sentinel1,treatment_0001,P01-08,0.1,8144.896330573818,False
cv,sentinel1,treatment_0001,P01-08,0.12589254117941676,8144.896299751531,False
cv,sentinel1,treatment_0001,P01-08,0.15848931924611143,8144.89626095078,False
cv,sentinel1,treatment_0001,P01-08,0.19952623149688808,8144.8962121070335,False
cv,sentinel1,treatment_0001,P01-08,0.25118864315095824,8144.896150621955,False
cv,sentinel1,treatment_0001,P01-08,0.31622776601683794,8144.896073225628,False
cv,sentinel1,treatment_0001,P01-08,0.3981071705534973,8144.895975803377,False
cv,sentinel1,treatment_0001,P01-08,0.5011872336272725,8144.895853178135,False
cv,sentinel1,treatment_0001,P01-08,0.6309573444801936,8144.895698837139,False
cv,sentinel1,treatment_0001,P01-08,0.7943282347242822,8144.895504588858,False
cv,sentinel1,treatment_0001,P01-08,1.0,8144.895260132745,False
cv,sentinel1,treatment_0001,P01-08,1.2589254117941688,8144.894952520151,False
cv,sentinel1,treatment_0001,P01-08,1.584893192461114,8144.894565479757,False
cv,sentinel1,treatment_0001,P01-08,1.9952623149688788,8144.894078574804,False
cv,sentinel1,treatment_0001,P01-08,2.5118864315095824,8144.89346615236,False
cv,sentinel1,treatment_0001,P01-08,3.1622776601683795,8144.892696036743,False
cv,sentinel1,treatment_0001,P01-08,3.9810717055349776,8144.891727910279,False
cv,sentinel1,treatment_0001,P01-08,5.011872336272725,8144.890511315379,False
cv,sentinel1,treatment_0001,P01-08,6.309573444801943,8144.88898320338,False
cv,sentinel1,treatment_0001,P01-08,7.943282347242821,8144.887064949954,False
cv,sentinel1,treatment_0001,P01-08,10.0,8144.884658757398,False
cv,sentinel1,treatment_0001,P01-08,12.589254117941687,8144.881643376994,False
cv,sentinel1,treatment_0001,P01-08,15.848931924611142,8144.877869119602,False
cv,sentinel1,treatment_0001,P01-08,19.95262314968883,8144.873152195916,False
cv,sentinel1,treatment_0001,P01-08,25.11886431509582,8144.867268564841,False
cv,sentinel1,treatment_0001,P01-08,31.622776601683793,8144.859947709294,False
cv,sentinel1,treatment_0001,P01-08,39.81071705534978,8144.85086716494,False
cv,sentinel1,treatment_0001,P01-08,50.11872336272725,8144.839649291417,False
cv,sentinel1,treatment_0001,P01-08,63.09573444801943,8144.825862833813,False
cv,sentinel1,treatment_0001,P01-08,79.43282347242821,8144.809033467527,False
cv,sentinel1,treatment_0001,P01-08,100.0,8144.788670015173,False
cv,sentinel1,treatment_0001,P01-08,125.89254117941688,8144.764316701331,False
cv,sentinel1,treatment_0001,P01-08,158.48931924611142,8144.735647040161,False
cv,sentinel1,treatment_0001,P01-08,199.5262314968883,8144.702622039853,False
cv,sentinel1,treatment_0001,P01-08,251.18864315095823,8144.665744366832,False
cv,sentinel1,treatment_0001,P01-08,316.22776601683796,8144.626450186366,False
cv,sentinel1,treatment_0001,P01-08,398.1071705534977,8144.587689245594,False
cv,sentinel1,treatment_0001,P01-08,501.18723362727246,8144.554746228795,False
cv,sentinel1,treatment_0001,P01-08,630.9573444801943,8144.536343009406,True
cv,sentinel1,treatment_0001,P01-08,794.3282347242822,8144.54601733113,False
cv,sentinel1,treatment_0001,P01-08,1000.0,8144.603679861362,False
cv,sentinel1,treatment_0001,P01-08,1258.9254117941687,8144.73709268478,False
cv,sentinel1,treatment_0001,P01-08,1584.893192461114,8144.982791917064,False
cv,sentinel1,treatment_0001,P01-08,1995.262314968883,8145.385745029242,False
cv,sentinel1,treatment_0001,P01-08,2511.886431509582,8145.996910805754,False
cv,sentinel1,treatment_0001,P01-08,3162.2776601683795,8146.868042706468,False
cv,sentinel1,treatment_0001,P01-08,3981.0717055349774,8148.043715965448,False
cv,sentinel1,treatment_0001,P01-08,5011.872336272725,8149.551657065018,False
cv,sentinel1,treatment_0001,P01-08,6309.573444801943,8151.393661076303,False
cv,sentinel1,treatment_0001,P01-08,7943.282347242822,8153.540032234814,False
cv,sentinel1,treatment_0001,P01-08,10000.0,8155.929950239002,False
cv,sentinel1,treatment_0001,P01-09,0.0001,9131.69396043737,False
cv,sentinel1,treatment_0001,P01-09,0.00012589254117941674,9131.693960413326,False
cv,sentinel1,treatment_0001,P01-09,0.00015848931924611142,9131.693960383056,False
cv,sentinel1,treatment_0001,P01-09,0.00019952623149688788,9131.693960344948,False
cv,sentinel1,treatment_0001,P01-09,0.00025118864315095795,9131.693960296974,False
cv,sentinel1,treatment_0001,P01-09,0.00031622776601683794,9131.693960236578,False
cv,sentinel1,treatment_0001,P01-09,0.00039810717055349735,9131.693960160545,False
cv,sentinel1,treatment_0001,P01-09,0.0005011872336272725,9131.693960064824,False
cv,sentinel1,treatment_0001,P01-09,0.000630957344480193,9131.693959944318,False
cv,sentinel1,treatment_0001,P01-09,0.0007943282347242813,9131.693959792612,False
cv,sentinel1,treatment_0001,P01-09,0.001,9131.693959601622,False
cv,sentinel1,treatment_0001,P01-09,0.0012589254117941675,9131.693959361184,False
cv,sentinel1,treatment_0001,P01-09,0.001584893192461114,9131.693959058488,False
cv,sentinel1,treatment_0001,P01-09,0.001995262314968879,9131.693958677419,False
cv,sentinel1,treatment_0001,P01-09,0.002511886431509582,9131.693958197679,False
cv,sentinel1,treatment_0001,P01-09,0.0031622776601683794,9131.693957593725,False
cv,sentinel1,treatment_0001,P01-09,0.003981071705534973,9131.693956833393,False
cv,sentinel1,treatment_0001,P01-09,0.005011872336272725,9131.693955876191,False
cv,sentinel1,treatment_0001,P01-09,0.00630957344480193,9131.693954671151,False
cv,sentinel1,treatment_0001,P01-09,0.00794328234724282,9131.6939531541,False
cv,sentinel1,treatment_0001,P01-09,0.01,9131.693951244253,False
cv,sentinel1,treatment_0001,P01-09,0.012589254117941675,9131.69394883991,False
cv,sentinel1,treatment_0001,P01-09,0.01584893192461114,9131.693945813038,False
cv,sentinel1,treatment_0001,P01-09,0.01995262314968881,9131.693942002463,False
cv,sentinel1,treatment_0001,P01-09,0.025118864315095822,9131.693937205277,False
cv,sentinel1,treatment_0001,P01-09,0.03162277660168379,9131.693931166054,False
cv,sentinel1,treatment_0001,P01-09,0.039810717055349734,9131.693923563236,False
cv,sentinel1,treatment_0001,P01-09,0.05011872336272725,9131.693913992043,False
cv,sentinel1,treatment_0001,P01-09,0.06309573444801936,9131.693901942917,False
cv,sentinel1,treatment_0001,P01-09,0.07943282347242822,9131.693886774428,False
cv,sentinel1,treatment_0001,P01-09,0.1,9131.693867679169,False
cv,sentinel1,treatment_0001,P01-09,0.12589254117941676,9131.693843640824,False
cv,sentinel1,treatment_0001,P01-09,0.15848931924611143,9131.693813380187,False
cv,sentinel1,treatment_0001,P01-09,0.19952623149688808,9131.693775287229,False
cv,sentinel1,treatment_0001,P01-09,0.25118864315095824,9131.693727335667,False
cv,sentinel1,treatment_0001,P01-09,0.31622776601683794,9131.693666975576,False
cv,sentinel1,treatment_0001,P01-09,0.3981071705534973,9131.693590998364,False
cv,sentinel1,treatment_0001,P01-09,0.5011872336272725,9131.693495367173,False
cv,sentinel1,treatment_0001,P01-09,0.6309573444801936,9131.693375003877,False
cv,sentinel1,treatment_0001,P01-09,0.7943282347242822,9131.6932235218,False
cv,sentinel1,treatment_0001,P01-09,1.0,9131.693032890593,False
cv,sentinel1,treatment_0001,P01-09,1.2589254117941688,9131.692793016487,False
cv,sentinel1,treatment_0001,P01-09,1.584893192461114,9131.692491217264,False
cv,sentinel1,treatment_0001,P01-09,1.9952623149688788,9131.692111566706,False
cv,sentinel1,treatment_0001,P01-09,2.5118864315095824,9131.691634077873,False
cv,sentinel1,treatment_0001,P01-09,3.1622776601683795,9131.691033688407,False
cv,sentinel1,treatment_0001,P01-09,3.9810717055349776,9131.690279004579,False
cv,sentinel1,treatment_0001,P01-09,5.011872336272725,9131.689330754021,False
cv,sentinel1,treatment_0001,P01-09,6.309573444801943,9131.688139891397,False
cv,sentinel1,treatment_0001,P01-09,7.943282347242821,9131.686645298225,False
cv,sentinel1,treatment_0001,P01-09,10.0,9131.684771020735,False
cv,sentinel1,treatment_0001,P01-09,12.589254117941687,9131.682423003167,False
cv,sentinel1,treatment_0001,P01-09,15.848931924611142,9131.6794853069,False
cv,sentinel1,treatment_0001,P01-09,19.95262314968883,9131.675815871971,False
cv,sentinel1,treatment_0001,P01-09,25.11886431509582,9131.671241998845,False
cv,sentinel1,treatment_0001,P01-09,31.622776601683793,9131.665555939362,False
cv,sentinel1,treatment_0001,P01-09,39.81071705534978,9131.65851133972,False
cv,sentinel1,treatment_0001,P01-09,50.11872336272725,9131.649821856241,False
cv,sentinel1,treatment_0001,P01-09,63.09573444801943,9131.639164186465,False
cv,sentinel1,treatment_0001,P01-09,79.43282347242821,9131.626189197306,False
