variant,sensor,treatment_site_id,fit_window,lambda,cv_sse,chosen
cv,sentinel1,treatment_0001,P01-08,0.0001,8128.399549634407,False
cv,sentinel1,treatment_0001,P01-08,0.00012589254117941674,8128.399549608115,False
cv,sentinel1,treatment_0001,P01-08,0.00015848931924611142,8128.399549575018,False
cv,sentinel1,treatment_0001,P01-08,0.00019952623149688788,8128.399549533349,False
cv,sentinel1,treatment_0001,P01-08,0.00025118864315095795,8128.399549480891,False
cv,sentinel1,treatment_0001,P01-08,0.00031622776601683794,8128.399549414853,False
cv,sentinel1,treatment_0001,P01-08,0.00039810717055349735,8128.3995493317125,False
cv,sentinel1,treatment_0001,P01-08,0.0005011872336272725,8128.399549227046,False
cv,sentinel1,treatment_0001,P01-08,0.000630957344480193,8128.39954909528,False
cv,sentinel1,treatment_0001,P01-08,0.0007943282347242813,8128.399548929396,False
cv,sentinel1,treatment_0001,P01-08,0.001,8128.39954872056,False
cv,sentinel1,treatment_0001,P01-08,0.0012589254117941675,8128.399548457651,False
cv,sentinel1,treatment_0001,P01-08,0.001584893192461114,8128.399548126668,False
cv,sentinel1,treatment_0001,P01-08,0.001995262314968879,8128.399547709986,False
cv,sentinel1,treatment_0001,P01-08,0.002511886431509582,8128.399547185416,False
cv,sentinel1,treatment_0001,P01-08,0.0031622776601683794,8128.399546525023,False
cv,sentinel1,treatment_0001,P01-08,0.003981071705534973,8128.399545693636,False
cv,sentinel1,treatment_0001,P01-08,0.005011872336272725,8128.399544646987,False
cv,sentinel1,treatment_0001,P01-08,0.00630957344480193,8128.399543329338,False
cv,sentinel1,treatment_0001,P01-08,0.00794328234724282,8128.399541670519,False
cv,sentinel1,treatment_0001,P01-08,0.01,8128.3995395822,False
cv,sentinel1,treatment_0001,P01-08,0.012589254117941675,8128.399536953178,False
cv,sentinel1,treatment_0001,P01-08,0.01584893192461114,8128.399533643459,False
cv,sentinel1,treatment_0001,P01-08,0.01995262314968881,8128.399529476807,False
cv,sentinel1,treatment_0001,P01-08,0.025118864315095822,8128.399524231362,False
cv,sentinel1,treatment_0001,P01-08,0.03162277660168379,8128.399517627831,False
cv,sentinel1,treatment_0001,P01-08,0.039810717055349734,8128.39950931463,False
cv,sentinel1,treatment_0001,P01-08,0.05011872336272725,8128.399498849164,False
cv,sentinel1,treatment_0001,P01-08,0.06309573444801936,8128.399485674298,False
cv,sentinel1,treatment_0001,P01-08,0.07943282347242822,8128.399469088718,False
cv,sentinel1,treatment_0001,P01-08,0.1,8128.39944820965,False
cv,sentinel1,treatment_0001,P01-08,0.12589254117941676,8128.399421925952,False
cv,sentinel1,treatment_0001,P01-08,0.15848931924611143,8128.3993888391,False
cv,sentinel1,treatment_0001,P01-08,0.19952623149688808,8128.3993471889635,False
cv,sentinel1,treatment_0001,P01-08,0.25118864315095824,8128.399294760484,False
cv,sentinel1,treatment_0001,P01-08,0.31622776601683794,8128.399228766342,False
cv,sentinel1,treatment_0001,P01-08,0.3981071705534973,8128.399145699546,False
cv,sentinel1,treatment_0001,P01-08,0.5011872336272725,8128.399041148265,False
cv,sentinel1,treatment_0001,P01-08,0.6309573444801936,8128.398909563434,False
cv,sentinel1,treatment_0001,P01-08,0.7943282347242822,8128.3987439672665,False
cv,sentinel1,treatment_0001,P01-08,1.0,8128.398535588043,False
cv,sentinel1,treatment_0001,P01-08,1.2589254117941688,8128.398273403099,False
cv,sentinel1,treatment_0001,P01-08,1.584893192461114,8128.397943567836,False
cv,sentinel1,treatment_0001,P01-08,1.9952623149688788,8128.397528703804,False
cv,sentinel1,treatment_0001,P01-08,2.5118864315095824,8128.397007013413,False
cv,sentinel1,treatment_0001,P01-08,3.1622776601683795,8128.396351182704,False
cv,sentinel1,treatment_0001,P01-08,3.9810717055349776,8128.395527027457,False
cv,sentinel1,treatment_0001,P01-08,5.011872336272725,8128.3944918320185,False
cv,sentinel1,treatment_0001,P01-08,6.309573444801943,8128.393192326463,False
cv,sentinel1,treatment_0001,P01-08,7.943282347242821,8128.391562248033,False
cv,sentinel1,treatment_0001,P01-08,10.0,8128.389519441582,False
cv,sentinel1,treatment_0001,P01-08,12.589254117941687,8128.386962477653,False
cv,sentinel1,treatment_0001,P01-08,15.848931924611142,8128.383766817047,False
cv,sentinel1,treatment_0001,P01-08,19.95262314968883,8128.379780644792,False
cv,sentinel1,treatment_0001,P01-08,25.11886431509582,8128.3748206625105,False
cv,sentinel1,treatment_0001,P01-08,31.622776601683793,8128.3686684094655,False
cv,sentinel1,treatment_0001,P01-08,39.81071705534978,8128.361068145236,False
cv,sentinel1,treatment_0001,P01-08,50.11872336272725,8128.3517280699125,False
cv,sentinel1,treatment_0001,P01-08,63.09573444801943,8128.340327824758,False
cv,sentinel1,treatment_0001,P01-08,79.43282347242821,8128.326537010167,False
cv,sentinel1,treatment_0001,P01-08,100.0,8128.310052149297,False
cv,sentinel1,treatment_0001,P01-08,125.89254117941688,8128.290663450351,False
cv,sentinel1,treatment_0001,P01-08,158.48931924611142,8128.268368235647,False
cv,sentinel1,treatment_0001,P01-08,199.5262314968883,8128.243555271328,False
cv,sentinel1,treatment_0001,P01-08,251.18864315095823,8128.217293338886,False
cv,sentinel1,treatment_0001,P01-08,316.22776601683796,8128.191767237669,False
cv,sentinel1,treatment_0001,P01-08,398.1071705534977,8128.170912210124,False
cv,sentinel1,treatment_0001,P01-08,501.18723362727246,8128.16129766196,True
cv,sentinel1,treatment_0001,P01-08,630.9573444801943,8128.173292553572,False
cv,sentinel1,treatment_0001,P01-08,794.3282347242822,8128.222492181782,False
cv,sentinel1,treatment_0001,P01-08,1000.0,8128.331280239477,False
cv,sentinel1,treatment_0001,P01-08,1258.9254117941687,8128.530227306579,False
cv,sentinel1,treatment_0001,P01-08,1584.893192461114,8128.858797436701,False
cv,sentinel1,treatment_0001,P01-08,1995.262314968883,8129.364610001645,False
cv,sentinel1,treatment_0001,P01-08,2511.886431509582,8130.100420412567,False
cv,sentinel1,treatment_0001,P01-08,3162.2776601683795,8131.118234522444,False
cv,sentinel1,treatment_0001,P01-08,3981.0717055349774,8132.46071249338,False
cv,sentinel1,treatment_0001,P01-08,5011.872336272725,8134.151189646307,False
cv,sentinel1,treatment_0001,P01-08,6309.573444801943,8136.1848240143245,False
cv,sentinel1,treatment_0001,P01-08,7943.282347242822,8138.52387025121,False
cv,sentinel1,treatment_0001,P01-08,10000.0,8141.099302159144,False
cv,sentinel1,treatment_0001,P01-09,0.0001,9113.231598866887,False
cv,sentinel1,treatment_0001,P01-09,0.00012589254117941674,9113.231598846098,False
cv,sentinel1,treatment_0001,P01-09,0.00015848931924611142,9113.231598819928,False
cv,sentinel1,treatment_0001,P01-09,0.00019952623149688788,9113.23159878698,False
cv,sentinel1,treatment_0001,P01-09,0.00025118864315095795,9113.231598745502,False
cv,sentinel1,treatment_0001,P01-09,0.00031622776601683794,9113.231598693284,False
cv,sentinel1,treatment_0001,P01-09,0.00039810717055349735,9113.231598627546,False
cv,sentinel1,treatment_0001,P01-09,0.0005011872336272725,9113.231598544786,False
cv,sentinel1,treatment_0001,P01-09,0.000630957344480193,9113.231598440596,False
cv,sentinel1,treatment_0001,P01-09,0.0007943282347242813,9113.23159830943,False
cv,sentinel1,treatment_0001,P01-09,0.001,9113.231598144303,False
cv,sentinel1,treatment_0001,P01-09,0.0012589254117941675,9113.23159793642,False
cv,sentinel1,treatment_0001,P01-09,0.001584893192461114,9113.23159767471,False
cv,sentinel1,treatment_0001,P01-09,0.001995262314968879,9113.231597345235,False
cv,sentinel1,treatment_0001,P01-09,0.002511886431509582,9113.231596930455,False
cv,sentinel1,treatment_0001,P01-09,0.0031622776601683794,9113.231596408277,False
cv,sentinel1,treatment_0001,P01-09,0.003981071705534973,9113.231595750896,False
